epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.4425,1.53223,2.14221,1.26716,0.45123,0.37202,0.33506,0.17043,1.72155,2.18509,1.45478,0.00066242,0.00066242,0.00066242
2,105.065,1.79006,2.02696,1.47169,0.43332,0.33426,0.31695,0.15317,1.8966,2.10798,1.58463,0.00127646,0.00127646,0.00127646
3,154.943,1.78241,1.90227,1.47359,0.50217,0.31205,0.31589,0.16612,1.80586,3.09246,1.54038,0.00183769,0.00183769,0.00183769
4,204.767,1.76646,1.85584,1.47374,0.48804,0.36258,0.35727,0.18702,1.76553,2.11028,1.51838,0.0017624,0.0017624,0.0017624
5,254.35,1.72294,1.80817,1.45143,0.51683,0.36147,0.3709,0.20511,1.72515,1.71132,1.45069,0.0016832,0.0016832,0.0016832
6,304.032,1.67615,1.71034,1.42008,0.53637,0.40977,0.42216,0.23922,1.59929,1.59636,1.37362,0.001604,0.001604,0.001604
7,353.577,1.6143,1.66195,1.39474,0.59448,0.40755,0.44265,0.25023,1.57631,1.54846,1.36284,0.0015248,0.0015248,0.0015248
8,403.21,1.5907,1.59436,1.3727,0.56186,0.40443,0.42948,0.24766,1.57387,1.5393,1.348,0.0014456,0.0014456,0.0014456
9,452.92,1.57354,1.55322,1.34313,0.61991,0.43476,0.46655,0.27068,1.56229,1.46109,1.35779,0.0013664,0.0013664,0.0013664
10,502.519,1.53826,1.50533,1.32562,0.63674,0.43365,0.48076,0.2793,1.53229,1.44227,1.32564,0.0012872,0.0012872,0.0012872
11,552.271,1.52631,1.49816,1.32436,0.63986,0.44753,0.49532,0.29387,1.46859,1.40013,1.28829,0.001208,0.001208,0.001208
12,601.737,1.48551,1.44545,1.31044,0.66187,0.43584,0.49646,0.29297,1.51325,1.40519,1.30355,0.0011288,0.0011288,0.0011288
13,651.381,1.48444,1.42021,1.301,0.65421,0.46752,0.52586,0.3095,1.44568,1.35855,1.26385,0.0010496,0.0010496,0.0010496
14,700.895,1.46619,1.37446,1.28219,0.66185,0.4603,0.51303,0.31235,1.44409,1.33645,1.26949,0.0009704,0.0009704,0.0009704
15,750.561,1.43645,1.34354,1.26686,0.64514,0.48029,0.52834,0.31533,1.42472,1.29531,1.26239,0.0008912,0.0008912,0.0008912
16,801.173,1.44803,1.35805,1.28044,0.67936,0.4553,0.53137,0.31678,1.43692,1.30821,1.28099,0.000812,0.000812,0.000812
17,850.522,1.43109,1.30437,1.27343,0.65855,0.48306,0.53496,0.32034,1.41218,1.27572,1.26261,0.0007328,0.0007328,0.0007328
18,900.016,1.39898,1.25086,1.24952,0.67929,0.46696,0.53753,0.33071,1.39816,1.24632,1.24083,0.0006536,0.0006536,0.0006536
19,949.29,1.38652,1.24789,1.25241,0.65403,0.48178,0.55201,0.33253,1.38279,1.24472,1.22715,0.0005744,0.0005744,0.0005744
20,998.537,1.38096,1.20532,1.22971,0.63716,0.51249,0.553,0.34419,1.39217,1.1946,1.24087,0.0004952,0.0004952,0.0004952
21,1047.85,1.36472,1.16833,1.22551,0.6886,0.48862,0.5632,0.34954,1.36982,1.18072,1.21893,0.000416,0.000416,0.000416
22,1097.17,1.33531,1.14723,1.20767,0.68425,0.49417,0.56831,0.35454,1.36584,1.16251,1.21318,0.0003368,0.0003368,0.0003368
23,1146.42,1.31343,1.11505,1.20387,0.68861,0.51749,0.5799,0.36123,1.34106,1.13182,1.20821,0.0002576,0.0002576,0.0002576
24,1195.72,1.30972,1.096,1.19196,0.67892,0.5248,0.58365,0.36276,1.34009,1.12423,1.20723,0.0001784,0.0001784,0.0001784
25,1244.95,1.27552,1.05688,1.17274,0.69966,0.50445,0.58229,0.36203,1.33413,1.1184,1.20467,9.92e-05,9.92e-05,9.92e-05
